Source_ID,data_id_code,title,language,abstract,provider,published_year,data_public,licence,dataset_citation,domain_class,DOI,URL
57,udlru_urug_forest_2021,Evaluación del riesgo de los principales ecosistemas boscosos de Uruguay,spanish,"A map of the forest-non-forest based on photointerpretation of Landsat 8 images from 2015, which was validated using high-resolution images, field data from the National Forest Inventory (IFN) and data from MGAP (2017, Collect Earth tool), to then be classified into the different types of forest based on soil, geomorphological and geographic information. A forest management scheme was used forest classification recently developed for Uruguay, which allows to order the different types in a systematic and hierarchical manner, based on physiognomy and environmental conditions, managing to identify 6 forest systems, 4 wooded savannas and 2 palm-type savannas, occupying the 5.9% of the national continental surface (mapped with an accuracy of 82% for forest and %52 for wooded savannas).",Universidad de la Republica Uruguay,,FALSE,Unknown,"Betancourt-Rial, A. (2021). Evaluación del riesgo de los principales ecosistemas boscosos de Uruguay [dataset]. Universidad de la Republica Uruguay.",Uruguay,NA,https://www.colibri.udelar.edu.uy/jspui/bitstream/20.500.12008/30646/1/uy24-20211.pdf
58,ead_abdhab_eco_2023,"United Arab Emirates: Red List of Ecosystems, an assessment of the conservation status of the ecosystems of Abu Dhabi",english,"A total of 17 ecosystem types (10 terrestrial and 7 marine) were initially identified following Abu Dhabi’s Terrestrial, Marine and Intertidal Habitat Classification Scheme v3.5 and the recently published IUCN Global Ecosystem Typology 2.0. Of them, 16 were assessed following the RLE protocol, and only one (sandy beaches) was Not Evaluated since there was no data to describe its ecological features, its main threats, or to assess changes in spatial or functional indicators over time.",Environment Agency-Abu Dhabi; IUCN Species Survival Commission; Provita; IUCN Commission on Ecosystem Management,,FALSE,Unknown,"Javed, S., Soorae, P.S., Zager, I., Castellanos, M., Garcia, L. & Al Dhaheri, S. (2023). Abu Dhabi Red List of Ecosystems. An assessment of the conservation status of the ecosystems of Abu Dhabi [dataset]. Gland, Switzerland.",Regional,NA,https://portals.iucn.org/library/sites/library/files/documents/2023-033-En_0.pdf
59,xxx_venez_veg_2010,Conservation status of the terrestrial ecosystems of Venezuela,spanish,"Building on the success of the International Union for Conservation of Nature (IUCN) Red List of Threatened Species, the IUCN recently launched the development of the Red List of Ecosystems (1). In the first major test of this system, we applied proposed categories and criteria to the terrestrial ecosystems of Venezuela. Main conclusion: We analyzed 1:2,000,000 maps of the 18 major vegetation types (published in 1988 and 2010), and used these data to project their remaining extent in 2038 (to satisfy the requirement of a 50-year window). We also combined the 2010 vegetation map with a map of perturbation intensity due to human activities. These metrics allowed us to apply the categories and criteria to the 18 vegetation types at the national and state level, and to examine 10 case studies in greater detail using primarily temporal series of satellite images.","Provita; Shell Venezuela; Lenovo Venezuela;  Ley Orgánica de Ciencia, Tecnología 
e Innovación (LOCTI)",,FALSE,Unknown,"Rodríguez, Jon & Oliveira-Miranda, Maria & Huber, Otto & Oliveira-Miranda, Rosa & Rodríguez-Clark, Kathryn & Zambrano, Sergio & Rojas-Suárez, Franklin & Giraldo, Diego. (2012). Conservation status of the terrestrial ecosystems of Venezuela [dataset].",Venezuela,NA,https://www.researchgate.net/publication/266159423_Conservation_status_of_the_terrestrial_ecosystems_of_Venezuela
62,conabio_mex_lcov_2018,National land cover map 2018 31 classes,spanish,"Land cover data for Mexico sourced by Landsat8 satellite images. All available images for the required calendar years were acquired through the ESPA processing system and were provided as atmospherically corrected surface reflectance and are accompanied by quality layers assigning, amongst others, pixels obscured by clouds and cloud shadows. Land cover is generated using a novel semi automated workflow based on time series processing and optimized training data generation. The workflow consists of the following procedures, including data acquisition, time series generation and processing, spectral clustering, training data generation and optimization, supervised object-based classifications, and geometry harmonization.",National Commission for Knowledge and Use of Biodiversity (CONABIO),,FALSE,Not specified,"Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (2018), National land cover map 2018 31 classes [dataset], available from: http://geonode.conabio.gob.mx/layers/National_MAD-Mex_landsat8_lc_2018_31_classes:geonode:National_MAD-Mex_landsat8_lc_2018_31_classes#more (accessed 29/04/2024)",Mexico,NA,http://geonode.conabio.gob.mx/layers/National_MAD-Mex_landsat8_lc_2018_31_classes:geonode:National_MAD-Mex_landsat8_lc_2018_31_classes#more
65,conabio_mex_lcov_2014,MAD-MEX: Automatic Wall-to-Wall Land Cover Monitoring for the Mexican REDD-MRV Program Using All Landsat Data,english,"Estimating forest area at a national scale within the United Nations program of Reducing Emissions from Deforestation and Forest Degradation (REDD) is primarily based on land cover information using remote sensing technologies. Timely delivery for a country of a size like Mexico can only be achieved in a standardized and cost-effective manner by automatic image classification. This paper describes the operational land cover monitoring system for Mexico. It utilizes national-scale cartographic reference data, all available Landsat satellite imagery, and field inventory data for validation. Seven annual national land cover maps between 1993 and 2008 were produced. The classification scheme defined 9 and 12 classes at two hierarchical levels. Overall accuracies achieved were up to 76%. Tropical and temperate forest was classified with accuracy up to 78% and 82%, respectively. Although specifically designed for the needs of Mexico, the general process is suitable for other participating countries in the REDD+ program to comply with guidelines on standardization and transparency of methods and to assure comparability. However, reporting of change is ill-advised based on the annual land cover products and a combination of annual land cover and change detection algorithms is suggested.",National Commission for Knowledge and Use of Biodiversity (CONABIO);  National Commission of Natural Protected Areas (CONANP);  National Forestry Commission (CONAFOR); Food and Agriculture Organization of the United Nations (FAO);  Woods Hole Research Center (WHRC);  United Nations Development Program (UNDP),,FALSE,Unknown,"Gebhardt S, Wehrmann T, Ruiz MAM, Maeda P, Bishop J, Schramm M, Kopeinig R, Cartus O, Kellndorfer J, Ressl R, et al. (2014) MAD-MEX: Automatic Wall-to-Wall Land Cover Monitoring for the Mexican REDD-MRV Program Using All Landsat Data [dataset]. Remote Sensing 6(5):3923-3943.",Mexico,https://doi.org/10.3390/rs6053923,https://www.mdpi.com/2072-4292/6/5/3923
68,cbs_neth_eco_2022,2022 Ecosystem Map Netherlands,english,"The aim of the Natural Capital Accounts is to map out the relationship between nature, economy and human activities in a clear and internationally comparable way - literally. CBS is working with  Wageningen University on behalf of the Ministry of Agriculture, Nature and Food Quality (LNV) to develop models, data and maps that provide a spatial and as complete as possible picture of the current state of Natural Capital in the Netherlands. This system of accounts is based on ecosystem services; the contributions of ecosystems to our economy and to other human activities.

The project follows the guidelines of the SEEA EEA developed in the UN context and also contributes to its further development. The figure below shows that a large number of topics are addressed that are logically related to each other. The size of an ecosystem together with the quality of that ecosystem determines the quantity and nature of the ecosystem services provided: the physical supply and use tables. This physical supply of services is also valued monetarily and can ultimately be related to the national accounts . In addition, thematic datasets and maps have been developed that show the carbon balance and biodiversity. These are further explained under the various themes.","CBS Netherlands; Wageningen University; Ministry of Agriculture, Nature and Food Quality (LNV)",,FALSE,CC BY 4.0,TBC,Netherlands,NA,https://www.cbs.nl/en-gb/society/nature-and-environment/natural-capital/technical-report
69,nsidc_nhemis_seaice_2024,"Sea Ice Index, Version 3 - Northern hemisphere (March 2024)",english,"The Sea Ice Index provides a quick look at Arctic- and Antarctic-wide changes in sea ice. It is a source for consistent, up-to-date sea ice extent and concentration images, in PNG format, and data values, in GeoTIFF and ASCII text files, from November 1978 to the present. Sea Ice Index images also depict trends and anomalies in ice cover calculated using a 30-year reference period of 1981 through 2010. The images and data are produced in a consistent way that makes the Index time-series appropriate for use when looking at long-term trends in sea ice cover. Both monthly and daily products are available. However, monthly products are better to use for long-term trend analysis because errors in the daily product tend to be averaged out in the monthly product and because day-to-day variations are often the result of short-term weather.",National Snow and Ice Data Center,,TRUE,Ok to use for POC - check again for main Atlas,"Fetterer, F., K. Knowles, W. N. Meier, M. Savoie, and A. K. Windnagel. (2017). Sea Ice Index, Version 3 [March 24]. Boulder, Colorado USA. National Snow and Ice Data Center. (accessed 13/05/2024)",Global,https://doi.org/10.7265/N5K072F8.,https://nsidc.org/data/seaice_index
70,nsidc_shemis_seaice_2023,"Sea Ice Index, Version 3 - Southern hemisphere (September 2023)",english,"The Sea Ice Index provides a quick look at Arctic- and Antarctic-wide changes in sea ice. It is a source for consistent, up-to-date sea ice extent and concentration images, in PNG format, and data values, in GeoTIFF and ASCII text files, from November 1978 to the present. Sea Ice Index images also depict trends and anomalies in ice cover calculated using a 30-year reference period of 1981 through 2010. The images and data are produced in a consistent way that makes the Index time-series appropriate for use when looking at long-term trends in sea ice cover. Both monthly and daily products are available. However, monthly products are better to use for long-term trend analysis because errors in the daily product tend to be averaged out in the monthly product and because day-to-day variations are often the result of short-term weather.",National Snow and Ice Data Center,,TRUE,Ok to use for POC - check again for main Atlas,"Fetterer, F., K. Knowles, W. N. Meier, M. Savoie, and A. K. Windnagel. (2017). Sea Ice Index, Version 3 [September 23]. Boulder, Colorado USA. National Snow and Ice Data Center. (accessed 13/05/2024)",Global,NA,https://nsidc.org/data/seaice_index
78,usda_virgisl_lcov_2021,Virgin Islands land cover and forest structure,english,"This data publication contains five raster datasets detailing the land cover and forest structure of the United States Virgin Islands and British Virgin Islands. There are two spatial land cover datasets, provided in multiple formats, that represent land-cover and woody vegetation formations using multi-part Landsat ETM+ scenes centered around the year 2000. Also included is a digital elevation model (DEM) that was created using discrete lidar data collected in 2004. The DEM was created by filtering ground (minimum elevation) and non-ground (mean and maximum elevation) returns to create a bare earth DEM and forest height estimates for the islands of St. John and St. Thomas, United States Virgin Islands. Two additional raster datasets include models that displays the spatial representation of lidar derived (1) dominant co-dominant tree height estimates and (2) above ground biomass estimates for the islands of St. John and St. Thomas, United States Virgin Islands.",US Department of Agriculture; Colorado State University,,TRUE,Custom,"Kennaway, Todd A.; Helmer, Eileen H.; Lefsky, Michael A.; Brandeis, Tom J.; Sherrill, Kirk R. 2021. Virgin Islands land cover and forest structure. Fort Collins, CO: Forest Service Research Data Archive.",Regional,https://doi.org/10.2737/RDS-2021-0091,https://www.fs.usda.gov/rds/archive/Catalog/RDS-2021-0091
79,aafc_can_agri_2023,Annual Crop Inventory - Canada,english; french,"Understanding the state and trends in agriculture production is essential to combat both short-term and long-term threats to stable and reliable access to food for all, and to ensure a profitable agricultural sector. Starting in 2009, the Earth Observation Team of the Science and Technology Branch (STB) at Agriculture and Agri-Food Canada (AAFC) began the process of generating annual crop type digital maps. Focusing on the Prairie Provinces in 2009 and 2010, a Decision Tree (DT) based methodology was applied using optical (Landsat-5, AWiFS, DMC) and radar (Radarsat-2) based satellite images. Beginning with the 2011 growing season, this activity has been extended to other provinces in support of a national crop inventory. To date this approach can consistently deliver a crop inventory that meets the overall target accuracy of at least 85% at a final spatial resolution of 30m (56m in 2009 and 2010).",Agriculture and Agri-Food Canada,,TRUE,Open Government Licence - Canada,"Agriculture and Agri-Food Canada, 2023, “Annual SpaceBased Crop Inventory for Canada, 2023”, Agroclimate, Geomatics and Earth Observation Division, Science and Technology Branch. https://open.canada.ca/data/en/dataset/ba2645d5-4458-414d-b1966303ac06c1c9  (accessed 29/04/2024)",Canada,NA,https://open.canada.ca/data/en/dataset/ba2645d5-4458-414d-b196-6303ac06c1c9
80,nrcan_can_forest_2024,Satellite-Based Canada Forest Inventory 2020,english,"Satellite-Based Forest Inventory (SBFI) informing on Canada’s forested land cover, disturbance recovery, structure, species, stand age from 2020, and stand-replacing disturbances from 1985-2020. The SBFI polygons represent homogeneous forest conditions akin to those of stands delineated in a strategic forest inventory. Over 25 million SBFI polygons were delineated using a multiresolution segmentation algorithm applied to the 2020 Landsat surface-reflectance BAP image composite (30-m spatial resolution), fire year, and harvest year layers derived from Landsat with the C2C approach. A minimum map unit of 0.45 ha (5 pixels) was used to define polygons. The entirety of Canada’s forest ecosystems were mapped using the same data, attributes, and temporal representation, resulting in a common vegetation inventory system of Canada’s ~650 Mha forested ecosystems. Given the large and diverse forest area of Canada, the strength of an SBFI lies in its use of a consistent data source and methodology across jurisdictional boundaries, and across managed and unmanaged forest areas, enabling consistently generated synoptic, spatially explicit information outputs. The data included herein are based upon free and open satellite data and information products following established and communicated approaches.",Natural Resources Canada,,TRUE,Custom,"Wulder, M.A., Hermosilla, T., White, J.C., Hobart, G.W., Bater, C.W., Bronson, S.C., 2024. Development and implementation of a stand-level Satellite-Based Forest Inventory for Canada. Forestry: An International Journal of Forest Research, cpad065.",Canada,https://doi.org/10.1093/forestry/cpad065,https://opendata.nfis.org/mapserver/nfis-change_eng.html
81,usda_tobag_lcov_2012,Tobago,english,"Tropical forest managers need detailed maps of forest types for REDD+, but spectral similarity among forest types; cloud and scan-line gaps; and scarce vegetation ground plots make producing such maps with satellite imagery difficult. How can managers map tropical forest tree communities with satellite imagery given these challenges? Here we describe a case study of mapping tropical forests to floristic classes with gap-filled Landsat imagery by judicious combination of field and remote sensing work. For managers, we include background on current and forthcoming solutions to the problems of mapping detailed tropical forest types with Landsat imagery. In the study area, Trinidad and Tobago, class characteristics like deciduousness allowed discrimination of floristic classes. We also discovered that we could identify most of the tree communities in (1) imagery with fine spatial resolution of 61 m; (2) multiseason fine resolution imagery (viewable with Google Earth); or (3) Landsat imagery from different dates, particularly imagery from drought years, even if decades old, allowing us to collect the extensive training data needed for mapping tropical forest types with ‘‘noisy’’ gap-filled imagery. Further, we show that gap-filled, synthetic multiseason Landsat imagery significantly improves class-specific accuracy for several seasonal forest associations. The class-specific improvements were better for comparing classification results; for in some cases increases in overall accuracy were small. These detailed mapping efforts can lead to new views of tropical forest landscapes. Here we learned that the xerophytic rain forest of Tobago is closely associated with ultramafic geology, helping to explain its unique physiognomy.",US Department of Agriculture; Colorado State University,,TRUE,Custom,"Helmer, E. H., T. S. Ruzycki, J. Benner, S. M. Voggesser, B. P. Scobie, C. Park, D. W. Fanning and S. Ramnarine. 2012. Detailed maps of tropical forest types are within reach: forest tree communities for Trinidad and Tobago mapped with multiseason Landsat and multiseason fine-resolution imagery. Forest Ecology and Management 279, 147-166",Regional,NA,https://data.fs.usda.gov/geodata/rastergateway/caribbean/index.php
82,hcmr_medi_seagrass_2012,Mediterranean Seagrass (Posidonia oceanica),english,"The aim of this work is to provide a fine-scale assessment of (i) the current and historical known distribution of P. oceanica, (ii) the total area of meadows and (iii) the magnitude of regressive phenomena in the last decades. The outcomes showed the current spatial distribution of P. oceanica, covering a known area of 1,224,707 ha and highlighted the lack of relevant data in part of the basin (21,471 linear km of coastline). The estimated regression of meadows amounted to 34% in the last 50 years, showing that this generalised phenomenon had to be mainly ascribed to cumulative effects of multiple local stressors. Our results highlighted the importance of enforcing surveys to assess the status and prioritize areas where cost-effective schemes for threats reduction, capable of reversing present patterns of change and ensuring P. oceanica persistence at Mediterranean scale, could be implemented.","Institute of Marine Biological Resources and Inland Waters, Greece",,FALSE,Unknown,"Telesca, L., Belluscio, A., Criscoli, A. et al. Seagrass meadows (Posidonia oceanica) distribution and trajectories of change [dataset]. Sci Rep 5, 12505 (2015).",Regional,https://doi.org/10.1038/srep12505,https://imbriw.hcmr.gr/database/
83,usda_trinid_lvoc_2012,Trinidad,english,"Tropical forest managers need detailed maps of forest types for REDD+, but spectral similarity among forest types; cloud and scan-line gaps; and scarce vegetation ground plots make producing such maps with satellite imagery difficult. How can managers map tropical forest tree communities with satellite imagery given these challenges? Here we describe a case study of mapping tropical forests to floristic classes with gap-filled Landsat imagery by judicious combination of field and remote sensing work. For managers, we include background on current and forthcoming solutions to the problems of mapping detailed tropical forest types with Landsat imagery. In the study area, Trinidad and Tobago, class characteristics like deciduousness allowed discrimination of floristic classes. We also discovered that we could identify most of the tree communities in (1) imagery with fine spatial resolution of 61 m; (2) multiseason fine resolution imagery (viewable with Google Earth); or (3) Landsat imagery from different dates, particularly imagery from drought years, even if decades old, allowing us to collect the extensive training data needed for mapping tropical forest types with ‘‘noisy’’ gap-filled imagery. Further, we show that gap-filled, synthetic multiseason Landsat imagery significantly improves class-specific accuracy for several seasonal forest associations. The class-specific improvements were better for comparing classification results; for in some cases increases in overall accuracy were small. These detailed mapping efforts can lead to new views of tropical forest landscapes. Here we learned that the xerophytic rain forest of Tobago is closely associated with ultramafic geology, helping to explain its unique physiognomy.",US Department of Agriculture; Colorado State University,,TRUE,Custom,"Helmer, E. H., T. S. Ruzycki, J. Benner, S. M. Voggesser, B. P. Scobie, C. Park, D. W. Fanning and S. Ramnarine. 2012. Detailed maps of tropical forest types are within reach: forest tree communities for Trinidad and Tobago mapped with multiseason Landsat and multiseason fine-resolution imagery. Forest Ecology and Management 279, 147-166.",Regional,NA,https://data.fs.usda.gov/geodata/rastergateway/caribbean/index.php
63,conabio_mex_lcov_2015,A proper Land Cover and Forest Type Classification Scheme for Mexico,english,"The imminent implementation of a REDD+ MRV system in Mexico in 2015, demanding operational annual land cover change reporting, requires highly accurate, annual and high resolution forest type maps; not only for monitoring but also to establish the historical baseline from the 1990s onwards. The employment of any supervised classifier demands exhaustive definition of land cover classes and the representation of all classes in the training stage. This paper reports the process of a data driven class separability analysis and the definition and application of a national land cover classification scheme. All Landsat data recorded over Mexico in the year 2000 with cloud coverage below 10 percent and a national digital elevation model have been used. Automatic wall-2-wall image classification has been performed trained by national reference data on land use and vegetation types with 66 classes. Validation has been performed against field plots of the national forest inventory. Groups of non-separable classes have subsequently been discerned by automatic iterative class aggregation. Class aggregations have finally been manually revised and modified towards a proposed national land cover classification scheme at 4 levels with 35 classes at the highest level including 13 classes for primary temperate and tropical forests, 2 classes for secondary temperate and tropical forest, 1 for induced or cultivated forest, as also 8 different scrubland classes. The remaining 11 classes cover agriculture, grassland, wetland, water bodies, urban and other vegetation land cover classes. The remaining 3 levels provide further hierarchic aggregations with 14, 10, and 8 classes, respectively. Trained by the relabeled training dataset wall-2-wall classification towards the 35 classes has been performed. The final national land cover dataset has been validated against more than 200,000 polygons randomly distributed all over the country with class labels derived by manual interpretation. The agreement for all 35 classes at level 4 was 71%. Primary forest classes have been identified with accuracies between 60% and 83%. Secondary forest classes rated only 50% finding major confusion with the primary forest classes. Accuracies over the scrubland classes have been calculated between 60% and 90%. Agreements for aggregated temperate and tropical forest classes was 85% and 80%, respectively. Separation of forest and non-forest has been achieved with an agreement of 87%.",Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO); Instituto Nacional de Estadística y Geografía (INEGI),,FALSE,Unknown,"Gebhardt, S., Maeda, P., Wehrmann, T., Argumedo Espinoza, J., and Schmidt, M.: A proper Land Cover and Forest Type Classification Scheme for Mexico [dataset], Int. Arch. Photogramm. Remote Sens. Spatial Inf. Sci., XL-7/W3, 383–390",Mexico,https://doi.org/10.5194/isprsarchives-XL-7-W3-383-2015,https://isprs-archives.copernicus.org/articles/XL-7-W3/383/2015/
84,usda_prico_lcov_2007,Puerto Rico,english,"Distributions of land cover and forest formations for Puerto Rico, Vieques and Culebra were mapped from previously published Landsat satellite image mosaics dated 1991 and 2000. This file is the map of land cover and forest formations for about the year 2000 for Puerto Rico, Vieques and Culebra. These data are the original basis for the 2001 NLCD data from the USGS.

Important notes: 
1. Open drought deciduous woodlands, with 25 to 60% woody vegetation cover, are grouped with pasture in the version of this map that is generalized to land cover. 
2. Low density urban lands are included with the Urban class and may have as little as 10-15% urban/built-up lands. 
3. Errors from minor misregristration between the maps from 1991-2000 will cause some error in analyses of change. 
4. We recommend using urban change data from Helmer and Ruefenacht (2005) to estimate urban change from 1991-2000. 

On the Caribbean island of Puerto Rico, forest, urban/built-up and pasture lands have replaced most formerly cultivated lands. The extent and age distribution of each forest type that undergoes land development, however, is unknown. This study assembles a time series of four land-cover maps for Puerto Rico. The time series includes two digitized paper maps of land cover in 1951 and 1978 that are based on photo interpretation. The other two maps are of forest type and land cover and are based on decision tree classification of Landsat image mosaics dated 1991 and 2000. With the map time series we quantify land-cover changes from 1951 to 2000; map forest age classes in 1991 and 2000; and quantify the forest that undergoes land development (urban development or surface mining) from 1991 to 2000 by forest type and age. This step relies on intersecting a map of land development from 1991-2000 (from the same satellite imagery) with the forest age and type maps. Land-cover changes from 1991-2000 that continue prior trends include urban expansion and transition of sugar cane, pineapple and other lowland agriculture to pasture. Forest recovery continues, but it has slowed. Emergent and forested wetland area increased between 1977 and 2000. Sun coffee cultivation appears to have increased slightly. Most of the forests cleared for land development, 55 percent, were young (1-13 yr). Only 13 percent of the developed forest was older (41-55+ yr). However, older forest on rugged karst lands that long ago reforested is vulnerable to land development if it is close to an urban center and unprotected.",US Department of Agriculture; Colorado State University,,TRUE,Unknown,"Kennaway, T., and Helmer, E.H. 2007. The Forest Types and Ages Cleared for Land Development in Puerto Rico [dataset]. GIScience and Remote Sensing 44(4):356-382.",Puerto Rico,NA,https://data.fs.usda.gov/geodata/rastergateway/caribbean/index.php
85,hcmr_medi_maerl_2014,Coralligenous and maerl habitats: predictive modelling to identify their spatial distributions across the Mediterranean Sea,english,"A thorough review of existing spatial datasets showing the distribution of coralligenous and maërl habitats across the Mediterranean Sea was undertaken, highlighting current gaps in knowledge. Predictive modelling was then carried out, based on environmental predictors, to produce the first continuous maps of these two habitats across the entire basin. These predicted occurrence maps for coralligenous outcrops and maërl beds provide critical information about where the two habitats are most likely to occur. The collated occurrence data and derived distribution model outputs can help addressing the challenge of developing basin-wide spatial plans and to guide cost-effective future surveys and monitoring efforts towards areas that are presently poorly-sampled.",Hellenic Centre for Marine Research; Coispa Tecnologia & Ricerca,,TRUE,Creative Commons Attribution version 4.0 (CC-BY 4.0),"Giannoulaki, M.; Belluscio, A.; Colloca, F.; Fraschetti, S.; Scardi, M.; Smith, C.; Panayotidis, P.; Valavanis, V.; Spedicato, M.T. (2013). Mediterranean Sensitive Habitats (MEDISEH) [dataset], Hellenic Centre for Marine Research: Heraklion.",Regional,NA,https://www.vliz.be/en/imis?module=dataset&dasid=5103
86,usda_prico_lcov_2023,"Puerto Rico, Vieques and Culebra land cover and forest formations circa 2000",english,"This data publication contains one spatial land cover raster dataset, provided in multiple formats, representing land cover and forest formations circa 2000 for Puerto Rico, Vieques and Culebra. This raster dataset differentiates cloud forest into two classes and was created from previously published Landsat satellite image mosaics dated 1991 and 2000 for Puerto Rico, Vieques and Culebra. Also included is a land cover map showing the distributions of land cover and forest formations for Puerto Rico, Vieques and Culebra that do not differentiate cloud forest into two classes. Two images are also provided that show the land cover and forest formations that 1) do differentiate cloud forest into two classes and 2) do not differentiate cloud forest into two classes.",US Department of Agriculture; Colorado State University,,TRUE,Custom,"Kennaway, Todd A.; Helmer, Eileen H. 2023. Puerto Rico, Vieques and Culebra land cover and forest formations circa 2000. Fort Collins, CO: Forest Service Research Data Archive.",Puerto Rico,https://doi.org/10.2737/RDS-2023-0022,https://www.fs.usda.gov/rds/archive/catalog/RDS-2023-0022
64,syke_finland_lcov_2018,CORINE Land Cover Finland 2018,finnish,"CORINE Land Cover 2018 describes the land use and land cover of the whole of Finland in 2018. In Syke, the EU's Copernicus Land project produced land cover materials from the Finnish area and prepared materials describing land cover changes between 2012-2018. The data was created with two levels of accuracy: one in accordance with EU requirements and the other for national use. The material consists of a raster-format spatial database (resolution 20 * 20 m) and a vector-format spatial database, where the smallest area that stands out in the terrain is at least 25 ha and the narrowest is 100 meters. The smallest pattern in the national change data 2012-2018 is 0.5 ha and the European one is 5 ha. The material has been produced based on existing geospatial data in Syke and satellite image interpretation. The vector material was produced by generalizing the raster material in accordance with the EEA's CORINE rules.

In vector data, land use/land cover is described with a three-level hierarchical classification. The five main categories (built-up areas; agricultural areas; forests and open fabrics and rocky lands; wetlands and open marshes and water areas) are divided into a total of 15 subcategories at the second level. At the third classification level, the categories are further divided into a total of 44 subcategories. In the raster data, there are still fourth-level national categories for some categories.",Finnish Environmental Center (SYKE),,TRUE,Creative Commons Name 4.0 International,"Finnish Environmental Center (SYKE) (2018), CORINE Land Cover 2018 [dataset], available from: https://ckan.ymparisto.fi/dataset/%7B0B4B2FAC-ADF1-43A1-A829-70F02BF0C0E5%7D (accessed 30/04/2024)",Finland,NA,https://ckan.ymparisto.fi/dataset/%7B0B4B2FAC-ADF1-43A1-A829-70F02BF0C0E5%7D
87,usda_sknse_lcov_2008,St. Kitts Nevis and St. Eustatius,english,"Distributions of land cover and forest formations for St. Kitts, Nevis, St. Eustatius, Grenada and Barbados were mapped from satellite imagery. Products include a manuscript, a printable map, and a raster dataset. The raster dataset includes the digital map, topographic derivatives, and the Landsat image mosaics. This file is the raster map of land cover and forest formations developed for St. Kitts, Nevis, and St. Eustatius. For details on the image dates and mosaics, see the manuscript referenced below. The image mosaics for St. Kitts, Nevis and St. Eustatius are based on Landsat ETM+ satellite imagery dated between December 1999 and September 2003.",US Department of Agriculture; Colorado State University; USGS; Sonoma State University; Puerto Rico Conservation Foundation; The Nature Conservancy; University of the West Indies,,TRUE,Unknown,"Helmer, E.H.; Kennaway, T.A.; Pedreros, D.H.; Clark, M.L.; Marcano-Vega, H.; Tieszen, L.L., Ruzycki, T.R.; Schill, S.R.; Carrington, C.M.S. 2008. Land cover and forest formation distributions for St. Kitts, Nevis, St. Eustatius, Grenada and Barbados from decision tree classification of cloud-cleared satellite imagery. Caribbean Journal of Science. 44(2):175-198.",Regional,NA,https://data.fs.usda.gov/geodata/rastergateway/caribbean/index.php
88,eucom_global_tropfor_2021,Tropical Moist Forests product,english,"The European Commission’s Joint Research Centre developed this new dataset on forest cover change in tropical moist forests (TMF) using 42 years of Landsat time series. The wall-to-wall maps at 0.09 ha resolution (30m) depict the TMF extent and the related disturbances (deforestation and degradation), and post-deforestation recovery (or forest regrowth) through two complementary thematic layers: a transition map and an annual change collection over the period 1990-2023. Each disturbance (deforestation or degradation) is characterized by its timing and intensity. Deforestation refers to a change in land cover (from forest to non-forested land) when degradation refers to a temporary disturbance in a forest remaining forested such as selective logging, fires and unusual weather events (hurricanes, droughts, blowdown).",European Commission,,TRUE,Custom,"C. Vancutsem, F. Achard, J.-F. Pekel, G. Vieilledent, S. Carboni, D. Simonetti, J. Gallego, L.E.O.C. Aragão, R. Nasi. (2021), Long-term (1990-2019) monitoring of forest cover changes in the humid tropics. Science Advances",Global,NA,https://forobs.jrc.ec.europa.eu/TMF/data
